source_file,line,context,source_module,source_package,target_module,target_package,violates_target
src/contur/scan/scanning_functions.py,9,module,contur.scan.scanning_functions,scan,contur.config.config,config,False
src/contur/scan/grid_tools.py,12,module,contur.scan.grid_tools,scan,contur.data.static_db,data,False
src/contur/scan/grid_tools.py,10,module,contur.scan.grid_tools,scan,contur.run.run_batch_submit,run,True
src/contur/scan/grid_tools.py,13,module,contur.scan.grid_tools,scan,contur.util.file_readers,util,False
src/contur/scan/grid_tools.py,14,module,contur.scan.grid_tools,scan,contur.util.utils,util,False
src/contur/scan/madgraph_steering.py,8,module,contur.scan.madgraph_steering,scan,contur.util.utils,util,False
src/contur/scan/os_functions.py,17,module,contur.scan.os_functions,scan,contur.util.utils,util,False
src/contur/scan/os_functions.py,18,module,contur.scan.os_functions,scan,contur.util.file_readers,util,False
src/contur/scan/scanning_functions.py,8,module,contur.scan.scanning_functions,scan,contur.util.utils,util,False
src/contur/scan/scanning_functions.py,10,module,contur.scan.scanning_functions,scan,contur.util.utils,util,False
src/contur/util/file_readers.py,11,module,contur.util.file_readers,util,contur.config.config,config,False
src/contur/util/file_readers.py,12,module,contur.util.file_readers,util,contur.config.state,config,False
src/contur/util/herwig_utils.py,1,module,contur.util.herwig_utils,util,contur.config,config,False
src/contur/util/herwig_utils.py,3,module,contur.util.herwig_utils,util,contur.config.config,config,False
src/contur/util/rst_utils.py,2,module,contur.util.rst_utils,util,contur.config.config,config,False
src/contur/util/utils.py,14,module,contur.util.utils,util,contur.config.config,config,False
src/contur/util/utils.py,15,module,contur.util.utils,util,contur.config.version,config,False
src/contur/util/file_readers.py,10,module,contur.util.file_readers,util,contur.data.static_db,data,True
src/contur/util/rst_utils.py,3,module,contur.util.rst_utils,util,contur.data,data,True
src/contur/util/utils.py,16,module,contur.util.utils,util,contur.data,data,True
src/contur/util/rst_utils.py,23,function,contur.util.rst_utils,util,contur.factories.yoda_factories,factories,True
src/contur/util/rst_utils.py,231,function,contur.util.rst_utils,util,contur.run.arg_utils,run,True
