model_name,model_version,run_point,yoda_files,map_name,stat_type,combined_exclusion
,,0005,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0005/runpoint_0005.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0005/runpoint_0005.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0005/runpoint_0005.yoda.gz']",my_run,EXP,0.79865194701121989
,,0005,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0005/runpoint_0005.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0005/runpoint_0005.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0005/runpoint_0005.yoda.gz']",my_run,HLEXP,1
,,0005,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0005/runpoint_0005.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0005/runpoint_0005.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0005/runpoint_0005.yoda.gz']",my_run,SMBG,0.67236057990441012
,,0006,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0006/runpoint_0006.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0006/runpoint_0006.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0006/runpoint_0006.yoda.gz']",my_run,EXP,0.50297831590739772
,,0006,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0006/runpoint_0006.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0006/runpoint_0006.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0006/runpoint_0006.yoda.gz']",my_run,HLEXP,1
,,0006,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0006/runpoint_0006.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0006/runpoint_0006.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0006/runpoint_0006.yoda.gz']",my_run,SMBG,0.5432072353940619
,,0007,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0007/runpoint_0007.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0007/runpoint_0007.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0007/runpoint_0007.yoda.gz']",my_run,EXP,0.84805967392859893
,,0007,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0007/runpoint_0007.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0007/runpoint_0007.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0007/runpoint_0007.yoda.gz']",my_run,HLEXP,1
,,0007,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0007/runpoint_0007.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0007/runpoint_0007.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0007/runpoint_0007.yoda.gz']",my_run,SMBG,0.64223260825367179
,,0008,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0008/runpoint_0008.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0008/runpoint_0008.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0008/runpoint_0008.yoda.gz']",my_run,EXP,0.10333657305153832
